Comunidad;Anyo;Labor;Unidad;Total
Castilla-La Mancha;2014;CIGARRILLOS;cantidad;109076684
Castilla-La Mancha;2014;CIGARROS;cantidad;115616408
Castilla-La Mancha;2014;P. LIAR;cantidad;310713
Castilla-La Mancha;2014;P. PIPA;cantidad;51840
Cataluña;2014;CIGARRILLOS;cantidad;436221182
Cataluña;2014;CIGARROS;cantidad;367689598
Cataluña;2014;P. LIAR;cantidad;1286500
Cataluña;2014;P. PIPA;cantidad;96178
Comunidad Valenciana;2014;CIGARRILLOS;cantidad;282785249
Comunidad Valenciana;2014;CIGARROS;cantidad;267055698
Comunidad Valenciana;2014;P. LIAR;cantidad;961673
Comunidad Valenciana;2014;P. PIPA;cantidad;125458
Extremadura;2014;CIGARRILLOS;cantidad;60848752
Extremadura;2014;CIGARROS;cantidad;81465530
Extremadura;2014;P. LIAR;cantidad;162051
Extremadura;2014;P. PIPA;cantidad;28020
Galicia;2014;CIGARRILLOS;cantidad;132849252
Galicia;2014;CIGARROS;cantidad;164090270
Galicia;2014;P. LIAR;cantidad;288952
Galicia;2014;P. PIPA;cantidad;14431
Madrid (Comunidad de);2014;CIGARRILLOS;cantidad;310175931
Madrid (Comunidad de);2014;CIGARROS;cantidad;190457054
Madrid (Comunidad de);2014;P. LIAR;cantidad;721293
Madrid (Comunidad de);2014;P. PIPA;cantidad;55763
Murcia (Región de);2014;CIGARRILLOS;cantidad;82156765
Murcia (Región de);2014;CIGARROS;cantidad;59628969
Murcia (Región de);2014;P. LIAR;cantidad;225392
Murcia (Región de);2014;P. PIPA;cantidad;32225
Navarra (Comunidad Foral de);2014;CIGARRILLOS;cantidad;49777393
Navarra (Comunidad Foral de);2014;CIGARROS;cantidad;53130161
Navarra (Comunidad Foral de);2014;P. LIAR;cantidad;116155
Navarra (Comunidad Foral de);2014;P. PIPA;cantidad;5092
País Vasco;2014;CIGARRILLOS;cantidad;126631915
País Vasco;2014;CIGARROS;cantidad;166927005
País Vasco;2014;P. LIAR;cantidad;225920
País Vasco;2014;P. PIPA;cantidad;11412
Rioja (La);2014;CIGARRILLOS;cantidad;16636554
Rioja (La);2014;CIGARROS;cantidad;27265432
Rioja (La);2014;P. LIAR;cantidad;30792
Rioja (La);2014;P. PIPA;cantidad;3637
Andalucía;2013;CIGARRILLOS;euros;1537526824
Andalucía;2013;CIGARROS;euros;64594956
Andalucía;2013;P. LIAR;euros;174976331
Andalucía;2013;P. PIPA;euros;9164703
Aragón;2013;CIGARRILLOS;euros;322818464
Aragón;2013;CIGARROS;euros;20503541
Aragón;2013;P. LIAR;euros;31407086
Aragón;2013;P. PIPA;euros;796918
Asturias (Principado de);2013;CIGARRILLOS;euros;261094644
Asturias (Principado de);2013;CIGARROS;euros;18099703
Asturias (Principado de);2013;P. LIAR;euros;20838463
Asturias (Principado de);2013;P. PIPA;euros;339466
Balears (Illes);2013;CIGARRILLOS;euros;378315406
Balears (Illes);2013;CIGARROS;euros;15337827
Balears (Illes);2013;P. LIAR;euros;48159586
Balears (Illes);2013;P. PIPA;euros;956452
Cantabria;2013;CIGARRILLOS;euros;143496033
Cantabria;2013;CIGARROS;euros;10968778
Cantabria;2013;P. LIAR;euros;11888419
Cantabria;2013;P. PIPA;euros;251451
Castilla y León;2013;CIGARRILLOS;euros;561937663
Castilla y León;2013;CIGARROS;euros;40722481
Castilla y León;2013;P. LIAR;euros;48858816
Castilla y León;2013;P. PIPA;euros;1998814
Castilla-La Mancha;2013;CIGARRILLOS;euros;474122989
Castilla-La Mancha;2013;CIGARROS;euros;22559743
Castilla-La Mancha;2013;P. LIAR;euros;56568155
Castilla-La Mancha;2013;P. PIPA;euros;2669691
Cataluña;2013;CIGARRILLOS;euros;1903253447
Cataluña;2013;CIGARROS;euros;92993939
Cataluña;2013;P. LIAR;euros;215062944
Cataluña;2013;P. PIPA;euros;6246114
Comunidad Valenciana;2013;CIGARRILLOS;euros;1214711605
Comunidad Valenciana;2013;CIGARROS;euros;50851038
Comunidad Valenciana;2013;P. LIAR;euros;174377929
Comunidad Valenciana;2013;P. PIPA;euros;6472740
Extremadura;2013;CIGARRILLOS;euros;266726421
Extremadura;2013;CIGARROS;euros;14434668
Extremadura;2013;P. LIAR;euros;30500065
Extremadura;2013;P. PIPA;euros;1261620
Galicia;2013;CIGARRILLOS;euros;579517406
Galicia;2013;CIGARROS;euros;32683834
Galicia;2013;P. LIAR;euros;48816740
Galicia;2013;P. PIPA;euros;775957
Madrid (Comunidad de);2013;CIGARRILLOS;euros;1359233890
Madrid (Comunidad de);2013;CIGARROS;euros;47585206
Madrid (Comunidad de);2013;P. LIAR;euros;123054536
Madrid (Comunidad de);2013;P. PIPA;euros;3081016
Murcia (Región de);2013;CIGARRILLOS;euros;363057625
Murcia (Región de);2013;CIGARROS;euros;12299665
Murcia (Región de);2013;P. LIAR;euros;41783971
Murcia (Región de);2013;P. PIPA;euros;1534964
