Comunidad;Año;Labor;Totales;Unidades
Cataluña;2017;P. LIAR;1281777;unidades
Cataluña;2017;P. PIPA;142295;unidades
Comunidad Valenciana;2017;CIGARRILLOS;277608531;unidades
Comunidad Valenciana;2017;CIGARROS;247446221;unidades
Comunidad Valenciana;2017;P. LIAR;893241;unidades
Comunidad Valenciana;2017;P. PIPA;112867;unidades
Extremadura;2017;CIGARRILLOS;54416287;unidades
Extremadura;2017;CIGARROS;65317514;unidades
Extremadura;2017;P. LIAR;113168;unidades
Extremadura;2017;P. PIPA;20606;unidades
Galicia;2017;CIGARRILLOS;126059512;unidades
Galicia;2017;CIGARROS;148874478;unidades
Galicia;2017;P. LIAR;273885;unidades
Galicia;2017;P. PIPA;20193;unidades
Madrid (Comunidad de);2017;CIGARRILLOS;290229715;unidades
Madrid (Comunidad de);2017;CIGARROS;180941074;unidades
Madrid (Comunidad de);2017;P. LIAR;633001;unidades
Madrid (Comunidad de);2017;P. PIPA;86535;unidades
Murcia (Región de);2017;CIGARRILLOS;78724777;unidades
Murcia (Región de);2017;CIGARROS;53483334;unidades
Murcia (Región de);2017;P. LIAR;163883;unidades
Murcia (Región de);2017;P. PIPA;21568;unidades
Navarra (Comunidad Foral de);2017;CIGARRILLOS;45613370;unidades
Navarra (Comunidad Foral de);2017;CIGARROS;50387267;unidades
Navarra (Comunidad Foral de);2017;P. LIAR;114744;unidades
Navarra (Comunidad Foral de);2017;P. PIPA;6928;unidades
País Vasco;2017;CIGARRILLOS;115446304;unidades
País Vasco;2017;CIGARROS;156071085;unidades
País Vasco;2017;P. LIAR;226164;unidades
País Vasco;2017;P. PIPA;17462;unidades
Rioja (La);2017;CIGARRILLOS;15951283;unidades
Rioja (La);2017;CIGARROS;25546358;unidades
Rioja (La);2017;P. LIAR;27359;unidades
Rioja (La);2017;P. PIPA;2902;unidades
Andalucía;2016;CIGARRILLOS;1635459886;euros
Andalucía;2016;CIGARROS;64488972;euros
Andalucía;2016;P. LIAR;154907232;euros
Andalucía;2016;P. PIPA;13741820;euros
Aragón;2016;CIGARRILLOS;324676537;euros
Aragón;2016;CIGARROS;18854029;euros
Aragón;2016;P. LIAR;27602264;euros
Aragón;2016;P. PIPA;1112374;euros
Asturias (Principado de);2016;CIGARRILLOS;255768011;euros
Asturias (Principado de);2016;CIGARROS;16874097;euros
Asturias (Principado de);2016;P. LIAR;19722061;euros
Asturias (Principado de);2016;P. PIPA;585180;euros
Balears (Illes);2016;CIGARRILLOS;406329516;euros
Balears (Illes);2016;CIGARROS;15674521;euros
Balears (Illes);2016;P. LIAR;53283780;euros
Balears (Illes);2016;P. PIPA;1457884;euros
Cantabria;2016;CIGARRILLOS;143267148;euros
Cantabria;2016;CIGARROS;10076176;euros
Cantabria;2016;P. LIAR;11414806;euros
Cantabria;2016;P. PIPA;339456;euros
Castilla y León;2016;CIGARRILLOS;560444346;euros
Castilla y León;2016;CIGARROS;39350967;euros
Castilla y León;2016;P. LIAR;44057799;euros
Castilla y León;2016;P. PIPA;2182374;euros
Castilla-La Mancha;2016;CIGARRILLOS;465291557;euros
Castilla-La Mancha;2016;CIGARROS;20386512;euros
Castilla-La Mancha;2016;P. LIAR;41410430;euros
Castilla-La Mancha;2016;P. PIPA;2827927;euros
Cataluña;2016;CIGARRILLOS;1909668330;euros
Cataluña;2016;CIGARROS;92833166;euros
Cataluña;2016;P. LIAR;220146695;euros
Cataluña;2016;P. PIPA;8875443;euros
Comunidad Valenciana;2016;CIGARRILLOS;1245297068;euros
Comunidad Valenciana;2016;CIGARROS;49552413;euros
Comunidad Valenciana;2016;P. LIAR;155369759;euros
Comunidad Valenciana;2016;P. PIPA;7921324;euros
Extremadura;2016;CIGARRILLOS;252443783;euros
Extremadura;2016;CIGARROS;12702099;euros
Extremadura;2016;P. LIAR;20546643;euros
Extremadura;2016;P. PIPA;1422573;euros
Galicia;2016;CIGARRILLOS;584354888;euros
Galicia;2016;CIGARROS;30607619;euros
Galicia;2016;P. LIAR;48060399;euros
Galicia;2016;P. PIPA;1348818;euros
Madrid (Comunidad de);2016;CIGARRILLOS;1333668290;euros
Madrid (Comunidad de);2016;CIGARROS;48975680;euros
Madrid (Comunidad de);2016;P. LIAR;112509210;euros
Madrid (Comunidad de);2016;P. PIPA;4802309;euros
Murcia (Región de);2016;CIGARRILLOS;363594452;euros
Murcia (Región de);2016;CIGARROS;11513161;euros
Murcia (Región de);2016;P. LIAR;29736260;euros
Murcia (Región de);2016;P. PIPA;1453851;euros
Navarra (Comunidad Foral de);2016;CIGARRILLOS;214145523;euros
Navarra (Comunidad Foral de);2016;CIGARROS;13172135;euros
Navarra (Comunidad Foral de);2016;P. LIAR;19188264;euros
Navarra (Comunidad Foral de);2016;P. PIPA;447863;euros
País Vasco;2016;CIGARRILLOS;543102855;euros
País Vasco;2016;CIGARROS;44409781;euros
País Vasco;2016;P. LIAR;37880495;euros
País Vasco;2016;P. PIPA;1039490;euros
Rioja (La);2016;CIGARRILLOS;73665141;euros
Rioja (La);2016;CIGARROS;6814936;euros
Rioja (La);2016;P. LIAR;4901083;euros
Rioja (La);2016;P. PIPA;230200;euros
Andalucía;2014;CIGARRILLOS;1546160371;euros
Andalucía;2014;CIGARROS;65841194;euros
