Comunidad;Año;Labor;Totales;Unidades
Andalucía;2005;CIGARRILLOS;843452099;unidades
Andalucía;2005;CIGARROS;122060004;unidades
Andalucía;2005;P. LIAR;8757982;unidades
Andalucía;2005;P. PIPA;382762;unidades
Aragón;2005;CIGARRILLOS;133722689;unidades
Aragón;2005;CIGARROS;41527581;unidades
Aragón;2005;P. LIAR;722168;unidades
Aragón;2005;P. PIPA;55778;unidades
Asturias (Principado de);2005;CIGARRILLOS;100973643;unidades
Asturias (Principado de);2005;CIGARROS;32650196;unidades
Asturias (Principado de);2005;P. LIAR;249857;unidades
Asturias (Principado de);2005;P. PIPA;45076;unidades
Balears (Illes);2005;CIGARRILLOS;196156006;unidades
Balears (Illes);2005;CIGARROS;34226955;unidades
Balears (Illes);2005;P. LIAR;9396511;unidades
Balears (Illes);2005;P. PIPA;230483;unidades
Cantabria;2005;CIGARRILLOS;57991713;unidades
Cantabria;2005;CIGARROS;19815815;unidades
Cantabria;2005;P. LIAR;459811;unidades
Cantabria;2005;P. PIPA;23966;unidades
Castilla y León;2005;CIGARRILLOS;226070185;unidades
Castilla y León;2005;CIGARROS;93131759;unidades
Castilla y León;2005;P. LIAR;555923;unidades
Castilla y León;2005;P. PIPA;72440;unidades
Castilla-La Mancha;2005;CIGARRILLOS;189396515;unidades
Castilla-La Mancha;2005;CIGARROS;44293567;unidades
Castilla-La Mancha;2005;P. LIAR;288298;unidades
Castilla-La Mancha;2005;P. PIPA;31663;unidades
Cataluña;2005;CIGARRILLOS;888711122;unidades
Cataluña;2005;CIGARROS;246646775;unidades
Cataluña;2005;P. LIAR;14487050;unidades
Cataluña;2005;P. PIPA;647968;unidades
Comunidad Valenciana;2005;CIGARRILLOS;589510066;unidades
Comunidad Valenciana;2005;CIGARROS;96290872;unidades
Comunidad Valenciana;2005;P. LIAR;15033216;unidades
Comunidad Valenciana;2005;P. PIPA;369402;unidades
Extremadura;2005;CIGARRILLOS;107300064;unidades
Extremadura;2005;CIGARROS;24397418;unidades
Extremadura;2005;P. LIAR;174339;unidades
Extremadura;2005;P. PIPA;19970;unidades
Galicia;2005;CIGARRILLOS;226899084;unidades
Galicia;2005;CIGARROS;53222036;unidades
Galicia;2005;P. LIAR;806840;unidades
Galicia;2005;P. PIPA;69765;unidades
Madrid (Comunidad de);2005;CIGARRILLOS;547698059;unidades
Madrid (Comunidad de);2005;CIGARROS;97162259;unidades
Madrid (Comunidad de);2005;P. LIAR;1438271;unidades
Madrid (Comunidad de);2005;P. PIPA;274542;unidades
Murcia (Región de);2005;CIGARRILLOS;149028405;unidades
Murcia (Región de);2005;CIGARROS;22883251;unidades
Murcia (Región de);2005;P. LIAR;1172018;unidades
Murcia (Región de);2005;P. PIPA;48096;unidades
Navarra (Comunidad Foral de);2005;CIGARRILLOS;95494852;unidades
Navarra (Comunidad Foral de);2005;CIGARROS;44171782;unidades
Navarra (Comunidad Foral de);2005;P. LIAR;1590097;unidades
Navarra (Comunidad Foral de);2005;P. PIPA;65540;unidades
País Vasco;2005;CIGARRILLOS;255634992;unidades
País Vasco;2005;CIGARROS;130926613;unidades
País Vasco;2005;P. LIAR;3187236;unidades
País Vasco;2005;P. PIPA;111742;unidades
Rioja (La);2005;CIGARRILLOS;26937319;unidades
Rioja (La);2005;CIGARROS;15542955;unidades
Rioja (La);2005;P. LIAR;46722;unidades
Rioja (La);2005;P. PIPA;6151;unidades
